"N","Time","avg(T)","avg(X)","avg(Y)","avg(Z)","avg(id)","avg(melt_CaO)","avg(melt_FeO)","avg(melt_MgO)","avg(melt_SiO2)","avg(melt_presence)","avg(p)","avg(peridotite)","avg(porosity)","avg(residue_CaO)","avg(residue_FeO)","avg(residue_MgO)","avg(residue_SiO2)","avg(vtkOriginalPointIds)","max(T)","max(X)","max(Y)","max(Z)","max(id)","max(melt_CaO)","max(melt_FeO)","max(melt_MgO)","max(melt_SiO2)","max(melt_presence)","max(p)","max(peridotite)","max(porosity)","max(residue_CaO)","max(residue_FeO)","max(residue_MgO)","max(residue_SiO2)","max(vtkOriginalPointIds)","med(T)","med(X)","med(Y)","med(Z)","med(id)","med(melt_CaO)","med(melt_FeO)","med(melt_MgO)","med(melt_SiO2)","med(melt_presence)","med(p)","med(peridotite)","med(porosity)","med(residue_CaO)","med(residue_FeO)","med(residue_MgO)","med(residue_SiO2)","med(vtkOriginalPointIds)","min(T)","min(X)","min(Y)","min(Z)","min(id)","min(melt_CaO)","min(melt_FeO)","min(melt_MgO)","min(melt_SiO2)","min(melt_presence)","min(p)","min(peridotite)","min(porosity)","min(residue_CaO)","min(residue_FeO)","min(residue_MgO)","min(residue_SiO2)","min(vtkOriginalPointIds)","q1(T)","q1(X)","q1(Y)","q1(Z)","q1(id)","q1(melt_CaO)","q1(melt_FeO)","q1(melt_MgO)","q1(melt_SiO2)","q1(melt_presence)","q1(p)","q1(peridotite)","q1(porosity)","q1(residue_CaO)","q1(residue_FeO)","q1(residue_MgO)","q1(residue_SiO2)","q1(vtkOriginalPointIds)","q3(T)","q3(X)","q3(Y)","q3(Z)","q3(id)","q3(melt_CaO)","q3(melt_FeO)","q3(melt_MgO)","q3(melt_SiO2)","q3(melt_presence)","q3(p)","q3(peridotite)","q3(porosity)","q3(residue_CaO)","q3(residue_FeO)","q3(residue_MgO)","q3(residue_SiO2)","q3(vtkOriginalPointIds)","std(T)","std(X)","std(Y)","std(Z)","std(id)","std(melt_CaO)","std(melt_FeO)","std(melt_MgO)","std(melt_SiO2)","std(melt_presence)","std(p)","std(peridotite)","std(porosity)","std(residue_CaO)","std(residue_FeO)","std(residue_MgO)","std(residue_SiO2)","std(vtkOriginalPointIds)","vtkValidPointMask"
11,0,1873,500,0,0,5,0,0,0,0,0,3.6674e+09,0,0,2.82,5.88,50.5,38.5,5,1873,1000,0,0,10,0,0,0,0,0,3.6674e+09,0,0,2.82,5.88,50.5,38.5,10,1873,500,0,0,5,0,0,0,0,0,3.6674e+09,0,0,2.82,5.88,50.5,38.5,5,1873,0,0,0,0,0,0,0,0,0,3.6674e+09,0,0,2.82,5.88,50.5,38.5,0,1873,200,0,0,2,0,0,0,0,0,3.6674e+09,0,0,2.82,5.88,50.5,38.5,2,1873,750,0,0,7.5,0,0,0,0,0,3.6674e+09,0,0,2.82,5.88,50.5,38.5,7,0,331.66,0,0,3.3166,0,0,0,0,0,0,0,0,0,0,0,0,3.3166,1
9,1250,1870.1,500,1250,0,5,0,0,0,0,0,3.6286e+09,0.12377,0,2.82,5.88,50.5,38.5,4,1870.1,900,1250,0,9,0,0,0,0,0,3.6286e+09,0.12377,0,2.82,5.88,50.5,38.5,8,1870.1,500,1250,0,5,0,0,0,0,0,3.6286e+09,0.12377,0,2.82,5.88,50.5,38.5,4,1870.1,100,1250,0,1,0,0,0,0,0,3.6286e+09,0.12377,0,2.82,5.88,50.5,38.5,0,1870.1,250,1250,0,2.5,0,0,0,0,0,3.6286e+09,0.12377,0,2.82,5.88,50.5,38.5,1,1870.1,700,1250,0,7,0,0,0,0,0,3.6286e+09,0.12377,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,2250,1869.3,500,2250,0,5,0,0,0,0,0,3.5976e+09,0.17017,0,2.82,5.88,50.5,38.5,4,1869.3,900,2250,0,9,0,0,0,0,0,3.5976e+09,0.17017,0,2.82,5.88,50.5,38.5,8,1869.3,500,2250,0,5,0,0,0,0,0,3.5976e+09,0.17017,0,2.82,5.88,50.5,38.5,4,1869.3,100,2250,0,1,0,0,0,0,0,3.5976e+09,0.17017,0,2.82,5.88,50.5,38.5,0,1869.3,250,2250,0,2.5,0,0,0,0,0,3.5976e+09,0.17017,0,2.82,5.88,50.5,38.5,1,1869.3,700,2250,0,7,0,0,0,0,0,3.5976e+09,0.17017,0,2.82,5.88,50.5,38.5,6,0,273.86,0.00012207,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,3250,1868.7,500,3250,0,5,0,0,0,0,0,3.5666e+09,0.19267,0,2.82,5.88,50.5,38.5,4,1868.7,900,3250,0,9,0,0,0,0,0,3.5666e+09,0.19267,0,2.82,5.88,50.5,38.5,8,1868.7,500,3250,0,5,0,0,0,0,0,3.5666e+09,0.19267,0,2.82,5.88,50.5,38.5,4,1868.7,100,3250,0,1,0,0,0,0,0,3.5666e+09,0.19267,0,2.82,5.88,50.5,38.5,0,1868.7,250,3250,0,2.5,0,0,0,0,0,3.5666e+09,0.19267,0,2.82,5.88,50.5,38.5,1,1868.7,700,3250,0,7,0,0,0,0,0,3.5666e+09,0.19267,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,4250,1868,500,4250,0,5,0,0,0,0,0,3.5356e+09,0.20432,0,2.82,5.88,50.5,38.5,4,1868,900,4250,0,9,0,0,0,0,0,3.5356e+09,0.20432,0,2.82,5.88,50.5,38.5,8,1868,500,4250,0,5,0,0,0,0,0,3.5356e+09,0.20432,0,2.82,5.88,50.5,38.5,4,1868,100,4250,0,1,0,0,0,0,0,3.5356e+09,0.20432,0,2.82,5.88,50.5,38.5,0,1868,250,4250,0,2.5,0,0,0,0,0,3.5356e+09,0.20432,0,2.82,5.88,50.5,38.5,1,1868,700,4250,0,7,0,0,0,0,0,3.5356e+09,0.20432,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,5250,1867.4,500,5250,0,5,0,0,0,0,0,3.5046e+09,0.21103,0,2.82,5.88,50.5,38.5,4,1867.4,900,5250,0,9,0,0,0,0,0,3.5046e+09,0.21103,0,2.82,5.88,50.5,38.5,8,1867.4,500,5250,0,5,0,0,0,0,0,3.5046e+09,0.21103,0,2.82,5.88,50.5,38.5,4,1867.4,100,5250,0,1,0,0,0,0,0,3.5046e+09,0.21103,0,2.82,5.88,50.5,38.5,0,1867.4,250,5250,0,2.5,0,0,0,0,0,3.5046e+09,0.21103,0,2.82,5.88,50.5,38.5,1,1867.4,700,5250,0,7,0,0,0,0,0,3.5046e+09,0.21103,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,6250,1866.9,500,6250,0,5,0,0,0,0,0,3.4736e+09,0.21546,0,2.82,5.88,50.5,38.5,4,1866.9,900,6250,0,9,0,0,0,0,0,3.4736e+09,0.21546,0,2.82,5.88,50.5,38.5,8,1866.9,500,6250,0,5,0,0,0,0,0,3.4736e+09,0.21546,0,2.82,5.88,50.5,38.5,4,1866.9,100,6250,0,1,0,0,0,0,0,3.4736e+09,0.21546,0,2.82,5.88,50.5,38.5,0,1866.9,250,6250,0,2.5,0,0,0,0,0,3.4736e+09,0.21546,0,2.82,5.88,50.5,38.5,1,1866.9,700,6250,0,7,0,0,0,0,0,3.4736e+09,0.21546,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,7250,1866.3,500,7250,0,5,0,0,0,0,0,3.4426e+09,0.21884,0,2.82,5.88,50.5,38.5,4,1866.3,900,7250,0,9,0,0,0,0,0,3.4426e+09,0.21884,0,2.82,5.88,50.5,38.5,8,1866.3,500,7250,0,5,0,0,0,0,0,3.4426e+09,0.21884,0,2.82,5.88,50.5,38.5,4,1866.3,100,7250,0,1,0,0,0,0,0,3.4426e+09,0.21884,0,2.82,5.88,50.5,38.5,0,1866.3,250,7250,0,2.5,0,0,0,0,0,3.4426e+09,0.21884,0,2.82,5.88,50.5,38.5,1,1866.3,700,7250,0,7,0,0,0,0,0,3.4426e+09,0.21884,0,2.82,5.88,50.5,38.5,6,0,273.86,0.00024414,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,8250,1865.8,500,8250,0,5,0,0,0,0,0,3.4117e+09,0.22175,0,2.82,5.88,50.5,38.5,4,1865.8,900,8250,0,9,0,0,0,0,0,3.4117e+09,0.22175,0,2.82,5.88,50.5,38.5,8,1865.8,500,8250,0,5,0,0,0,0,0,3.4117e+09,0.22175,0,2.82,5.88,50.5,38.5,4,1865.8,100,8250,0,1,0,0,0,0,0,3.4117e+09,0.22175,0,2.82,5.88,50.5,38.5,0,1865.8,250,8250,0,2.5,0,0,0,0,0,3.4117e+09,0.22175,0,2.82,5.88,50.5,38.5,1,1865.8,700,8250,0,7,0,0,0,0,0,3.4117e+09,0.22175,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,9250,1865.2,500,9250,0,5,0,0,0,0,0,3.3807e+09,0.22446,0,2.82,5.88,50.5,38.5,4,1865.2,900,9250,0,9,0,0,0,0,0,3.3807e+09,0.22446,0,2.82,5.88,50.5,38.5,8,1865.2,500,9250,0,5,0,0,0,0,0,3.3807e+09,0.22446,0,2.82,5.88,50.5,38.5,4,1865.2,100,9250,0,1,0,0,0,0,0,3.3807e+09,0.22446,0,2.82,5.88,50.5,38.5,0,1865.2,250,9250,0,2.5,0,0,0,0,0,3.3807e+09,0.22446,0,2.82,5.88,50.5,38.5,1,1865.2,700,9250,0,7,0,0,0,0,0,3.3807e+09,0.22446,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,10250,1864.7,500,10250,0,5,0,0,0,0,0,3.3497e+09,0.22709,0,2.82,5.88,50.5,38.5,4,1864.7,900,10250,0,9,0,0,0,0,0,3.3497e+09,0.22709,0,2.82,5.88,50.5,38.5,8,1864.7,500,10250,0,5,0,0,0,0,0,3.3497e+09,0.22709,0,2.82,5.88,50.5,38.5,4,1864.7,100,10250,0,1,0,0,0,0,0,3.3497e+09,0.22709,0,2.82,5.88,50.5,38.5,0,1864.7,250,10250,0,2.5,0,0,0,0,0,3.3497e+09,0.22709,0,2.82,5.88,50.5,38.5,1,1864.7,700,10250,0,7,0,0,0,0,0,3.3497e+09,0.22709,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,11250,1864.2,500,11250,0,5,0,0,0,0,0,3.3188e+09,0.22972,0,2.82,5.88,50.5,38.5,4,1864.2,900,11250,0,9,0,0,0,0,0,3.3188e+09,0.22972,0,2.82,5.88,50.5,38.5,8,1864.2,500,11250,0,5,0,0,0,0,0,3.3188e+09,0.22972,0,2.82,5.88,50.5,38.5,4,1864.2,100,11250,0,1,0,0,0,0,0,3.3188e+09,0.22972,0,2.82,5.88,50.5,38.5,0,1864.2,250,11250,0,2.5,0,0,0,0,0,3.3188e+09,0.22972,0,2.82,5.88,50.5,38.5,1,1864.2,700,11250,0,7,0,0,0,0,0,3.3188e+09,0.22972,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,12250,1863.7,500,12250,0,5,0,0,0,0,0,3.2878e+09,0.23234,0,2.82,5.88,50.5,38.5,4,1863.7,900,12250,0,9,0,0,0,0,0,3.2878e+09,0.23234,0,2.82,5.88,50.5,38.5,8,1863.7,500,12250,0,5,0,0,0,0,0,3.2878e+09,0.23234,0,2.82,5.88,50.5,38.5,4,1863.7,100,12250,0,1,0,0,0,0,0,3.2878e+09,0.23234,0,2.82,5.88,50.5,38.5,0,1863.7,250,12250,0,2.5,0,0,0,0,0,3.2878e+09,0.23234,0,2.82,5.88,50.5,38.5,1,1863.7,700,12250,0,7,0,0,0,0,0,3.2878e+09,0.23234,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,13250,1863.2,500,13250,0,5,0,0,0,0,0,3.2569e+09,0.23501,0,2.82,5.88,50.5,38.5,4,1863.2,900,13250,0,9,0,0,0,0,0,3.2569e+09,0.23501,0,2.82,5.88,50.5,38.5,8,1863.2,500,13250,0,5,0,0,0,0,0,3.2569e+09,0.23501,0,2.82,5.88,50.5,38.5,4,1863.2,100,13250,0,1,0,0,0,0,0,3.2569e+09,0.23501,0,2.82,5.88,50.5,38.5,0,1863.2,250,13250,0,2.5,0,0,0,0,0,3.2569e+09,0.23501,0,2.82,5.88,50.5,38.5,1,1863.2,700,13250,0,7,0,0,0,0,0,3.2569e+09,0.23501,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,14250,1862.8,500,14250,0,5,0,0,0,0,0,3.226e+09,0.23769,0,2.82,5.88,50.5,38.5,4,1862.8,900,14250,0,9,0,0,0,0,0,3.226e+09,0.23769,0,2.82,5.88,50.5,38.5,8,1862.8,500,14250,0,5,0,0,0,0,0,3.226e+09,0.23769,0,2.82,5.88,50.5,38.5,4,1862.8,100,14250,0,1,0,0,0,0,0,3.226e+09,0.23769,0,2.82,5.88,50.5,38.5,0,1862.8,250,14250,0,2.5,0,0,0,0,0,3.226e+09,0.23769,0,2.82,5.88,50.5,38.5,1,1862.8,700,14250,0,7,0,0,0,0,0,3.226e+09,0.23769,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,7.8536e-09,0,0,0,0,0,2.7386,1
9,15250,1862.3,500,15250,0,5,0,0,0,0,0,3.1951e+09,0.24041,0,2.82,5.88,50.5,38.5,4,1862.3,900,15250,0,9,0,0,0,0,0,3.1951e+09,0.24041,0,2.82,5.88,50.5,38.5,8,1862.3,500,15250,0,5,0,0,0,0,0,3.1951e+09,0.24041,0,2.82,5.88,50.5,38.5,4,1862.3,100,15250,0,1,0,0,0,0,0,3.1951e+09,0.24041,0,2.82,5.88,50.5,38.5,0,1862.3,250,15250,0,2.5,0,0,0,0,0,3.1951e+09,0.24041,0,2.82,5.88,50.5,38.5,1,1862.3,700,15250,0,7,0,0,0,0,0,3.1951e+09,0.24041,0,2.82,5.88,50.5,38.5,6,0,273.86,0.00043062,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,16250,1861.8,500,16250,0,5,0,0,0,0,0,3.1642e+09,0.24316,0,2.82,5.88,50.5,38.5,4,1861.8,900,16250,0,9,0,0,0,0,0,3.1642e+09,0.24316,0,2.82,5.88,50.5,38.5,8,1861.8,500,16250,0,5,0,0,0,0,0,3.1642e+09,0.24316,0,2.82,5.88,50.5,38.5,4,1861.8,100,16250,0,1,0,0,0,0,0,3.1642e+09,0.24316,0,2.82,5.88,50.5,38.5,0,1861.8,250,16250,0,2.5,0,0,0,0,0,3.1642e+09,0.24316,0,2.82,5.88,50.5,38.5,1,1861.8,700,16250,0,7,0,0,0,0,0,3.1642e+09,0.24316,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
9,17250,1861.3,500,17250,0,5,0,0,0,0,0,3.1333e+09,0.24594,0,2.82,5.88,50.5,38.5,4,1861.3,900,17250,0,9,0,0,0,0,0,3.1333e+09,0.24594,0,2.82,5.88,50.5,38.5,8,1861.3,500,17250,0,5,0,0,0,0,0,3.1333e+09,0.24594,0,2.82,5.88,50.5,38.5,4,1861.3,100,17250,0,1,0,0,0,0,0,3.1333e+09,0.24594,0,2.82,5.88,50.5,38.5,0,1861.3,250,17250,0,2.5,0,0,0,0,0,3.1333e+09,0.24594,0,2.82,5.88,50.5,38.5,1,1861.3,700,17250,0,7,0,0,0,0,0,3.1333e+09,0.24594,0,2.82,5.88,50.5,38.5,6,0,273.86,0,0,2.7386,0,0,0,0,0,0,0,0,0,0,0,0,2.7386,1
